country,expense,year,life,continent
Guinea-Bissau,94.63068869,1997,50.962097561,Africa
Guyana,200.24543062,1997,64.532804878,South America
Haiti,59.90573266,1997,56.892902439,North America
Honduras,128.11155705,1997,69.6307073171,North America
Hungary,677.31155343,1997,70.7024390244,Europe
Iceland,2110.87500127,1997,78.8853658537,Europe
India,71.14964901,1997,61.3695609756,Asia
Indonesia,95.81159488,1997,65.5821707317,Asia
Israel,1604.9135959,1997,78.0,Asia
Italy,1753.35076923,1997,78.8243902439,Europe
Jamaica,376.43968981,1997,72.0157073171,North America
Japan,1675.08857919,1997,80.4241463415,Asia
Jordan,495.53878787,1997,71.2635609756,Asia
Kazakhstan,297.92443913,1997,64.4634146341,Asia
Kenya,67.99863318,1997,52.4375365854,Africa
Kiribati,108.14300477,1997,63.1446097561,Oceania
Kuwait,2225.6919662,1997,73.0750243902,Asia
Latvia,285.5933466,1997,69.3492682927,Europe
Lebanon,1217.38518437,1997,72.9838780488,Asia
Lesotho,79.2790224,1997,53.1267560976,Africa
Libya,652.84187711,1997,70.2275121951,Africa
Lithuania,418.4396117,1997,70.9090243902,Europe
Luxembourg,2303.11346237,1997,76.8804878049,Europe
Madagascar,50.33871589,1997,56.2335121951,Africa
Malawi,24.95879762,1997,43.642804878,Africa
Malaysia,323.97303153,1997,72.2791219512,Asia
Maldives,196.75677238,1997,67.2780487805,Asia
Mali,63.25156804,1997,47.9664634146,Africa
Malta,1016.30901895,1997,77.5902439024,Europe
Mauritania,80.25773653,1997,59.7022682927,Africa
Mauritius,262.09752946,1997,70.4048780488,Africa
Mexico,398.2259482,1997,73.4371463415,North America
Moldova,151.926792,1997,66.595097561,Europe
Mongolia,122.13890862,1997,61.7364634146,Asia
Montenegro,431.68164087,1997,73.5490487805,Europe
Morocco,117.11954621,1997,67.471195122,Africa
Mozambique,18.23232046,1997,47.1902926829,Africa
Myanmar,12.60832152,1997,61.079902439,Asia
Namibia,273.35165506,1997,58.3749268293,Africa
Nepal,59.3332403,1997,60.0716829268,Asia
New Zealand,1357.54267368,1997,77.3341463415,Oceania
Nicaragua,125.64686452,1997,68.274097561,North America
Niger,37.41266761,1997,48.5592195122,Africa
Nigeria,99.60255135,1997,46.2245121951,Africa
Norway,2354.05832742,1997,78.1426829268,Europe
Oman,1037.88446868,1997,70.9789756098,Asia
Pakistan,86.04085578,1997,62.0085609756,Asia
